Juego inicializado - Nivel 1 (mapa 10x10) - 4 colectables
Sala inicial: 0

=== SETUP INICIAL ===
Posicion de la camara: -20.00, 1.00, 12.00
Centro de sala (y, x) 2D: 5, 3
Mouse Moved: Yaw -> 0.75, Pitch -> 0.75
Mouse Moved: Yaw -> 1.50, Pitch -> 1.00
Mouse Moved: Yaw -> 2.25, Pitch -> 1.25
Mouse Moved: Yaw -> 2.50, Pitch -> 1.25
Mouse Moved: Yaw -> 3.00, Pitch -> 1.25
Mouse Moved: Yaw -> 3.25, Pitch -> 1.25
Mouse Moved: Yaw -> 3.50, Pitch -> 1.25
Mouse Moved: Yaw -> 3.75, Pitch -> 1.50
Mouse Moved: Yaw -> 4.00, Pitch -> 1.50
Mouse Moved: Yaw -> 3.50, Pitch -> 1.50
Mouse Moved: Yaw -> 2.25, Pitch -> 1.25
Mouse Moved: Yaw -> 0.75, Pitch -> 1.25
Mouse Moved: Yaw -> -1.00, Pitch -> 1.25
Mouse Moved: Yaw -> -3.25, Pitch -> 1.25
Mouse Moved: Yaw -> -6.25, Pitch -> 1.25
Mouse Moved: Yaw -> -10.00, Pitch -> 1.25
Mouse Moved: Yaw -> -14.00, Pitch -> 1.25
Mouse Moved: Yaw -> -18.75, Pitch -> 1.25
Mouse Moved: Yaw -> -24.00, Pitch -> 1.25
Mouse Moved: Yaw -> -29.25, Pitch -> 1.25
Mouse Moved: Yaw -> -34.50, Pitch -> 1.25
Mouse Moved: Yaw -> -40.00, Pitch -> 1.25
Mouse Moved: Yaw -> -45.50, Pitch -> 1.25
Mouse Moved: Yaw -> -51.00, Pitch -> 1.25
Mouse Moved: Yaw -> -56.00, Pitch -> 1.00
Mouse Moved: Yaw -> -61.00, Pitch -> 0.75
Mouse Moved: Yaw -> -65.75, Pitch -> 0.75
Mouse Moved: Yaw -> -70.25, Pitch -> 0.50
Mouse Moved: Yaw -> -74.25, Pitch -> 0.25
Mouse Moved: Yaw -> -78.00, Pitch -> 0.25
Mouse Moved: Yaw -> -81.50, Pitch -> 0.00
Mouse Moved: Yaw -> -84.75, Pitch -> 0.00
Mouse Moved: Yaw -> -87.25, Pitch -> 0.00
Mouse Moved: Yaw -> -89.75, Pitch -> 0.00
Mouse Moved: Yaw -> -91.75, Pitch -> 0.00
Mouse Moved: Yaw -> -93.50, Pitch -> 0.00
Mouse Moved: Yaw -> -95.25, Pitch -> 0.00
Mouse Moved: Yaw -> -96.25, Pitch -> 0.00
Mouse Moved: Yaw -> -97.50, Pitch -> -0.25
Mouse Moved: Yaw -> -98.50, Pitch -> -0.25
Mouse Moved: Yaw -> -99.25, Pitch -> -0.50
Mouse Moved: Yaw -> -99.75, Pitch -> -0.50
Mouse Moved: Yaw -> -100.25, Pitch -> -0.50
Mouse Moved: Yaw -> -100.75, Pitch -> -0.50
Mouse Moved: Yaw -> -101.25, Pitch -> -0.50
Mouse Moved: Yaw -> -102.00, Pitch -> -0.25
Mouse Moved: Yaw -> -102.25, Pitch -> -0.25
Mouse Moved: Yaw -> -103.00, Pitch -> -0.25
Mouse Moved: Yaw -> -103.25, Pitch -> -0.25
Mouse Moved: Yaw -> -103.75, Pitch -> -0.25
Mouse Moved: Yaw -> -104.50, Pitch -> -0.25
Mouse Moved: Yaw -> -105.50, Pitch -> -0.25
Mouse Moved: Yaw -> -106.75, Pitch -> -0.25
Mouse Moved: Yaw -> -108.00, Pitch -> -0.25
Mouse Moved: Yaw -> -109.50, Pitch -> -0.25
Mouse Moved: Yaw -> -110.75, Pitch -> -0.25
Mouse Moved: Yaw -> -111.75, Pitch -> -0.25
Mouse Moved: Yaw -> -112.50, Pitch -> -0.25
Mouse Moved: Yaw -> -113.25, Pitch -> -0.25
